NACCAGE,EDUC,SEX,RACE,model,RACE_model,mean.adj,sd.adj,mean.adj.ori,sd.adj.ori,,,,,
81,11,0,White,transformed,0,2.033285337,0.093951595,35.22053979,11.08975543,,,,,
82,11,0,White,transformed,0,2.039088428,0.093951595,36.02887534,11.31873715,,,,,
83,11,0,White,transformed,0,2.045187167,0.093951595,36.87939608,11.55761099,,,,,
84,11,0,White,transformed,0,2.051423512,0.093951595,37.73620149,11.80621351,,,,,
85,11,0,White,transformed,0,2.057639421,0.093951595,38.56339103,12.06438128,,,,,
86,11,0,White,transformed,0,2.063676852,0.093951595,39.32506419,12.33195087,,,,,
87,11,0,White,transformed,0,2.069377764,0.093951595,39.98532044,12.60875885,,,,,
88,11,0,White,transformed,0,2.074666555,0.093951595,40.53198012,12.89455067,,,,,
89,11,0,White,transformed,0,2.07997639,0.093951595,41.09925208,13.18850932,,,,,
90,11,0,White,transformed,0,2.085934323,0.093951595,41.87713313,13.48960345,,,,,
91,11,0,White,transformed,0,2.09316779,0.093951595,43.05572989,13.79680132,,,,,
92,11,0,White,transformed,0,2.102304225,0.093951595,44.82514899,14.10907115,,,,,
93,11,0,White,transformed,0,2.113971064,0.093951595,47.37549705,14.42538119,,,,,
94,11,0,White,transformed,0,2.128795744,0.093951595,50.89688071,14.74469967,,,,,
95,11,0,White,transformed,0,2.147405698,0.093951595,55.5794066,15.06599483,,,,,
40,12,0,White,transformed,0,1.880513844,0.093951595,22.85212321,5.638219633,,,,,
41,12,0,White,transformed,0,1.88081889,0.093951595,22.85641042,5.740724877,,,,,
42,12,0,White,transformed,0,1.881144263,0.093951595,22.8633196,5.843392022,,,,,
43,12,0,White,transformed,0,1.881502539,0.093951595,22.87529379,5.946305849,,,,,
44,12,0,White,transformed,0,1.881906299,0.093951595,22.89477603,6.049551137,,,,,
45,12,0,White,transformed,0,1.882368119,0.093951595,22.92420935,6.153212669,,,,,
46,12,0,White,transformed,0,1.882900579,0.093951595,22.96603679,6.257375225,,,,,
47,12,0,White,transformed,0,1.883516257,0.093951595,23.02270139,6.362123584,,,,,
48,12,0,White,transformed,0,1.884227769,0.093951595,23.09664566,6.467542535,,,,,
49,12,0,White,transformed,0,1.885067176,0.093951595,23.1900381,6.573719926,,,,,
50,12,0,White,transformed,0,1.886117557,0.093951595,23.3043283,6.680751641,,,,,
51,12,0,White,transformed,0,1.887470258,0.093951595,23.44084933,6.788734865,,,,,
52,12,0,White,transformed,0,1.889216627,0.093951595,23.60093429,6.897766784,,,,,
53,12,0,White,transformed,0,1.891448011,0.093951595,23.78591624,7.007944584,,,,,
54,12,0,White,transformed,0,1.894255755,0.093951595,23.99712828,7.11936545,,,,,
55,12,0,White,transformed,0,1.897731206,0.093951595,24.23590349,7.232126567,,,,,
56,12,0,White,transformed,0,1.901964848,0.093951595,24.50356745,7.346324963,,,,,
57,12,0,White,transformed,0,1.906971869,0.093951595,24.80079342,7.462043777,,,,,
58,12,0,White,transformed,0,1.912634804,0.093951595,25.12710529,7.579341682,,,,,
59,12,0,White,transformed,0,1.918822685,0.093951595,25.48190998,7.698274862,,,,,
60,12,0,White,transformed,0,1.925404543,0.093951595,25.86461439,7.8188995,,,,,
61,12,0,White,transformed,0,1.93224941,0.093951595,26.27462544,7.941271779,,,,,
62,12,0,White,transformed,0,1.939226317,0.093951595,26.71135003,8.065447882,,,,,
63,12,0,White,transformed,0,1.946204297,0.093951595,27.17419508,8.191483993,,,,,
64,12,0,White,transformed,0,1.953053529,0.093951595,27.66241653,8.319438713,,,,,
65,12,0,White,transformed,0,1.95968214,0.093951595,28.17028323,8.449450534,,,,,
66,12,0,White,transformed,0,1.96604399,0.093951595,28.68605376,8.581754226,,,,,
67,12,0,White,transformed,0,1.972095661,0.093951595,29.19762887,8.716590295,,,,,
68,12,0,White,transformed,0,1.977793734,0.093951595,29.69290932,8.854199244,,,,,
69,12,0,White,transformed,0,1.98309479,0.093951595,30.15979587,8.994821576,,,,,
70,12,0,White,transformed,0,1.987955413,0.093951595,30.58618927,9.138697795,,,,,
71,12,0,White,transformed,0,1.992332183,0.093951595,30.9599903,9.286068405,,,,,
72,12,0,White,transformed,0,1.996188061,0.093951595,31.27030518,9.437192148,,,,,
73,12,0,White,transformed,0,1.999593151,0.093951595,31.52648844,9.592634115,,,,,
74,12,0,White,transformed,0,2.002706463,0.093951595,31.75469598,9.753213597,,,,,
75,12,0,White,transformed,0,2.005689695,0.093951595,31.98159226,9.919757576,,,,,
76,12,0,White,transformed,0,2.008704547,0.093951595,32.23384175,10.09309304,,,,,
77,12,0,White,transformed,0,2.01191272,0.093951595,32.53810891,10.27404697,,,,,
78,12,0,White,transformed,0,2.015475913,0.093951595,32.92105819,10.46344635,,,,,
