NACCAGE,EDUC,SEX,mean.adj,sd.adj,Zscore
86,13,0,2.331831107,0.129801975,0
87,13,0,2.339399799,0.129801975,0
88,13,0,2.347155107,0.129801975,0
89,13,0,2.355103756,0.129801975,0
90,13,0,2.363270952,0.129801975,0
91,13,0,2.371681938,0.129801975,0
92,13,0,2.380361957,0.129801975,0
93,13,0,2.389336252,0.129801975,0
94,13,0,2.398630065,0.129801975,0
95,13,0,2.408268639,0.129801975,0
40,14,0,2.083416098,0.129801975,0
41,14,0,2.085186944,0.129801975,0
42,14,0,2.086981213,0.129801975,0
43,14,0,2.088811755,0.129801975,0
44,14,0,2.090691417,0.129801975,0
45,14,0,2.092633049,0.129801975,0
46,14,0,2.094649497,0.129801975,0
47,14,0,2.096753611,0.129801975,0
48,14,0,2.098958291,0.129801975,0
49,14,0,2.10130272,0.129801975,0
50,14,0,2.103895049,0.129801975,0
51,14,0,2.106854606,0.129801975,0
52,14,0,2.110300718,0.129801975,0
53,14,0,2.114352711,0.129801975,0
54,14,0,2.119129913,0.129801975,0
55,14,0,2.124751651,0.129801975,0
56,14,0,2.131335997,0.129801975,0
57,14,0,2.138891763,0.129801975,0
58,14,0,2.147235259,0.129801975,0
59,14,0,2.1561632,0.129801975,0
60,14,0,2.1654723,0.129801975,0
61,14,0,2.174959275,0.129801975,0
62,14,0,2.184420838,0.129801975,0
63,14,0,2.193653706,0.129801975,0
64,14,0,2.202457323,0.129801975,0
65,14,0,2.210721308,0.129801975,0
66,14,0,2.218443958,0.129801975,0
67,14,0,2.22563004,0.129801975,0
68,14,0,2.232284318,0.129801975,0
69,14,0,2.23841156,0.129801975,0
70,14,0,2.244016532,0.129801975,0
71,14,0,2.249103999,0.129801975,0
72,14,0,2.253682824,0.129801975,0
73,14,0,2.257830664,0.129801975,0
74,14,0,2.261682259,0.129801975,0
75,14,0,2.26537408,0.129801975,0
76,14,0,2.269042595,0.129801975,0
77,14,0,2.272824273,0.129801975,0
78,14,0,2.276855583,0.129801975,0
79,14,0,2.281272994,0.129801975,0
80,14,0,2.286201672,0.129801975,0
81,14,0,2.291655744,0.129801975,0
82,14,0,2.29758631,0.129801975,0
83,14,0,2.303943746,0.129801975,0
84,14,0,2.310678431,0.129801975,0
85,14,0,2.317740742,0.129801975,0
86,14,0,2.325081055,0.129801975,0
87,14,0,2.332649747,0.129801975,0
88,14,0,2.340405055,0.129801975,0
89,14,0,2.348353704,0.129801975,0
90,14,0,2.3565209,0.129801975,0
91,14,0,2.364931886,0.129801975,0
92,14,0,2.373611905,0.129801975,0
93,14,0,2.3825862,0.129801975,0
94,14,0,2.391880013,0.129801975,0
95,14,0,2.401518587,0.129801975,0
40,15,0,2.076666046,0.129801975,0
41,15,0,2.078436892,0.129801975,0
42,15,0,2.080231161,0.129801975,0
43,15,0,2.082061703,0.129801975,0
44,15,0,2.083941365,0.129801975,0
45,15,0,2.085882997,0.129801975,0
46,15,0,2.087899445,0.129801975,0
47,15,0,2.090003559,0.129801975,0
48,15,0,2.092208239,0.129801975,0
49,15,0,2.094552668,0.129801975,0
50,15,0,2.097144997,0.129801975,0
51,15,0,2.100104554,0.129801975,0
52,15,0,2.103550666,0.129801975,0
53,15,0,2.107602659,0.129801975,0
54,15,0,2.112379861,0.129801975,0
55,15,0,2.118001599,0.129801975,0
56,15,0,2.124585945,0.129801975,0
57,15,0,2.132141711,0.129801975,0
58,15,0,2.140485207,0.129801975,0
59,15,0,2.149413148,0.129801975,0
60,15,0,2.158722248,0.129801975,0
61,15,0,2.168209223,0.129801975,0
62,15,0,2.177670786,0.129801975,0
63,15,0,2.186903654,0.129801975,0
64,15,0,2.195707271,0.129801975,0
65,15,0,2.203971256,0.129801975,0
66,15,0,2.211693906,0.129801975,0
67,15,0,2.218879988,0.129801975,0
68,15,0,2.225534266,0.129801975,0
69,15,0,2.231661508,0.129801975,0
70,15,0,2.23726648,0.129801975,0
71,15,0,2.242353947,0.129801975,0
72,15,0,2.246932772,0.129801975,0
73,15,0,2.251080612,0.129801975,0
74,15,0,2.254932207,0.129801975,0
75,15,0,2.258624028,0.129801975,0
76,15,0,2.262292543,0.129801975,0
77,15,0,2.266074221,0.129801975,0
78,15,0,2.270105531,0.129801975,0
79,15,0,2.274522942,0.129801975,0
80,15,0,2.27945162,0.129801975,0
81,15,0,2.284905692,0.129801975,0
82,15,0,2.290836258,0.129801975,0
83,15,0,2.297193694,0.129801975,0
84,15,0,2.303928379,0.129801975,0
85,15,0,2.31099069,0.129801975,0
86,15,0,2.318331003,0.129801975,0
87,15,0,2.325899695,0.129801975,0
88,15,0,2.333655003,0.129801975,0
89,15,0,2.341603652,0.129801975,0
90,15,0,2.349770848,0.129801975,0
91,15,0,2.358181834,0.129801975,0
92,15,0,2.366861853,0.129801975,0
93,15,0,2.375836148,0.129801975,0
94,15,0,2.385129961,0.129801975,0
95,15,0,2.394768535,0.129801975,0
40,16,0,2.069915994,0.129801975,0
41,16,0,2.07168684,0.129801975,0
42,16,0,2.073481109,0.129801975,0
43,16,0,2.075311651,0.129801975,0
44,16,0,2.077191313,0.129801975,0
45,16,0,2.079132945,0.129801975,-2.032249938
46,16,0,2.081149393,0.129801975,0
47,16,0,2.083253507,0.129801975,0
48,16,0,2.085458187,0.129801975,0
49,16,0,2.087802616,0.129801975,0
50,16,0,2.090394945,0.129801975,0
51,16,0,2.093354502,0.129801975,0
52,16,0,2.096800614,0.129801975,0
53,16,0,2.100852607,0.129801975,0
54,16,0,2.105629809,0.129801975,0
55,16,0,2.111251547,0.129801975,0
56,16,0,2.117835893,0.129801975,0
57,16,0,2.125391659,0.129801975,0
58,16,0,2.133735155,0.129801975,0
59,16,0,2.142663096,0.129801975,0
60,16,0,2.151972196,0.129801975,-1.471093211
61,16,0,2.161459171,0.129801975,0
62,16,0,2.170920734,0.129801975,0
63,16,0,2.180153602,0.129801975,0
64,16,0,2.188957219,0.129801975,0
65,16,0,2.197221204,0.129801975,0
66,16,0,2.204943854,0.129801975,0
67,16,0,2.212129936,0.129801975,0
68,16,0,2.218784214,0.129801975,0
69,16,0,2.224911456,0.129801975,0
70,16,0,2.230516428,0.129801975,0
71,16,0,2.235603895,0.129801975,0
72,16,0,2.24018272,0.129801975,0
73,16,0,2.24433056,0.129801975,0
74,16,0,2.248182155,0.129801975,0
75,16,0,2.251873976,0.129801975,-0.701445599
76,16,0,2.255542491,0.129801975,0
77,16,0,2.259324169,0.129801975,0
78,16,0,2.263355479,0.129801975,0
79,16,0,2.26777289,0.129801975,0
80,16,0,2.272701568,0.129801975,0
81,16,0,2.27815564,0.129801975,0
82,16,0,2.284086206,0.129801975,0
83,16,0,2.290443642,0.129801975,0
84,16,0,2.297178327,0.129801975,0
85,16,0,2.304240638,0.129801975,0
86,16,0,2.311580951,0.129801975,0
87,16,0,2.319149643,0.129801975,0
88,16,0,2.326904951,0.129801975,0
89,16,0,2.3348536,0.129801975,0
90,16,0,2.343020796,0.129801975,0
91,16,0,2.351431782,0.129801975,0
92,16,0,2.360111801,0.129801975,0
93,16,0,2.369086096,0.129801975,0
94,16,0,2.378379909,0.129801975,0
95,16,0,2.388018483,0.129801975,0
40,17,0,2.063165942,0.129801975,0
41,17,0,2.064936788,0.129801975,0
42,17,0,2.066731057,0.129801975,0
43,17,0,2.068561599,0.129801975,0
