NACCAGE,EDUC,SEX,RACE,model,RACE_model,mean.adj,sd.adj,,
62,14,0,White,transformed,0,2.150383141,0.122524029,,
63,14,0,White,transformed,0,2.159507925,0.122524029,,
64,14,0,White,transformed,0,2.168515281,0.122524029,,
65,14,0,White,transformed,0,2.177283926,0.122524029,,
66,14,0,White,transformed,0,2.185740887,0.122524029,,
67,14,0,White,transformed,0,2.193816068,0.122524029,,
68,14,0,White,transformed,0,2.201439372,0.122524029,,
69,14,0,White,transformed,0,2.208540702,0.122524029,,
70,14,0,White,transformed,0,2.215049961,0.122524029,,
71,14,0,White,transformed,0,2.220897054,0.122524029,,
72,14,0,White,transformed,0,2.22602057,0.122524029,,
73,14,0,White,transformed,0,2.23050499,0.122524029,,
74,14,0,White,transformed,0,2.234555858,0.122524029,,
75,14,0,White,transformed,0,2.238382378,0.122524029,,
76,14,0,White,transformed,0,2.242193756,0.122524029,,
77,14,0,White,transformed,0,2.246199198,0.122524029,,
78,14,0,White,transformed,0,2.25060791,0.122524029,,
79,14,0,White,transformed,0,2.255629096,0.122524029,,
80,14,0,White,transformed,0,2.261448896,0.122524029,,
81,14,0,White,transformed,0,2.26802684,0.122524029,,
82,14,0,White,transformed,0,2.275193836,0.122524029,,
83,14,0,White,transformed,0,2.282779315,0.122524029,,
84,14,0,White,transformed,0,2.290612712,0.122524029,,
85,14,0,White,transformed,0,2.298523457,0.122524029,,
86,14,0,White,transformed,0,2.306340984,0.122524029,,
87,14,0,White,transformed,0,2.313894724,0.122524029,,
88,14,0,White,transformed,0,2.321076821,0.122524029,,
89,14,0,White,transformed,0,2.328166421,0.122524029,,
90,14,0,White,transformed,0,2.335590157,0.122524029,,
91,14,0,White,transformed,0,2.343774951,0.122524029,,
92,14,0,White,transformed,0,2.353147726,0.122524029,,
93,14,0,White,transformed,0,2.364135404,0.122524029,,
94,14,0,White,transformed,0,2.37716491,0.122524029,,
95,14,0,White,transformed,0,2.392663164,0.122524029,,
40,15,0,White,transformed,0,2.070823344,0.122524029,,
41,15,0,White,transformed,0,2.071236975,0.122524029,,
42,15,0,White,transformed,0,2.071675594,0.122524029,,
43,15,0,White,transformed,0,2.072154294,0.122524029,,
44,15,0,White,transformed,0,2.072688166,0.122524029,,
45,15,0,White,transformed,0,2.0732923,0.122524029,,
46,15,0,White,transformed,0,2.073981789,0.122524029,,
47,15,0,White,transformed,0,2.074771722,0.122524029,,
48,15,0,White,transformed,0,2.075677242,0.122524029,,
49,15,0,White,transformed,0,2.076739216,0.122524029,,
50,15,0,White,transformed,0,2.078066012,0.122524029,,
51,15,0,White,transformed,0,2.079776939,0.122524029,,
52,15,0,White,transformed,0,2.081991303,0.122524029,,
53,15,0,White,transformed,0,2.084828412,0.122524029,,
54,15,0,White,transformed,0,2.088407574,0.122524029,,
55,15,0,White,transformed,0,2.092848095,0.122524029,,
56,15,0,White,transformed,0,2.098268187,0.122524029,,
57,15,0,White,transformed,0,2.104690593,0.122524029,,
58,15,0,White,transformed,0,2.11196985,0.122524029,,
59,15,0,White,transformed,0,2.119943378,0.122524029,,
60,15,0,White,transformed,0,2.128448593,0.122524029,,
61,15,0,White,transformed,0,2.137322914,0.122524029,,
62,15,0,White,transformed,0,2.146403757,0.122524029,,
63,15,0,White,transformed,0,2.155528541,0.122524029,,
64,15,0,White,transformed,0,2.164535897,0.122524029,,
65,15,0,White,transformed,0,2.173304542,0.122524029,,
