NACCAGE,EDUC,SEX,RACE,model,RACE_model,mean.adj,sd.adj,,
51,15,0,White,transformed,0,2.283191655,0.091714514,,
52,15,0,White,transformed,0,2.285222611,0.09175281,,
53,15,0,White,transformed,0,2.287692187,0.091792076,,
54,15,0,White,transformed,0,2.290689433,0.091832475,,
55,15,0,White,transformed,0,2.2943034,0.09187417,,
56,15,0,White,transformed,0,2.298622285,0.091917324,,
57,15,0,White,transformed,0,2.3036599,0.091962291,,
58,15,0,White,transformed,0,2.309299004,0.092009752,,
59,15,0,White,transformed,0,2.315409015,0.092060423,,
60,15,0,White,transformed,0,2.32185935,0.092115019,,
61,15,0,White,transformed,0,2.328519428,0.092174258,,
62,15,0,White,transformed,0,2.335258667,0.092238855,,
63,15,0,White,transformed,0,2.341946485,0.092309525,,
64,15,0,White,transformed,0,2.348454139,0.092387012,,
65,15,0,White,transformed,0,2.354713648,0.092472974,,
66,15,0,White,transformed,0,2.360730256,0.092570171,,
67,15,0,White,transformed,0,2.36651357,0.092681428,,
68,15,0,White,transformed,0,2.372073193,0.092809569,,
69,15,0,White,transformed,0,2.377418731,0.092957421,,
70,15,0,White,transformed,0,2.382559788,0.093127809,,
71,15,0,White,transformed,0,2.387505969,0.093323558,,
72,15,0,White,transformed,0,2.392267612,0.0935474,,
73,15,0,White,transformed,0,2.396867358,0.093800515,,
74,15,0,White,transformed,0,2.40133806,0.09408279,,
75,15,0,White,transformed,0,2.405712879,0.094394077,,
76,15,0,White,transformed,0,2.410024976,0.094734225,,
77,15,0,White,transformed,0,2.414307512,0.095103085,,
78,15,0,White,transformed,0,2.418593649,0.095500505,,
79,15,0,White,transformed,0,2.422916547,0.095926336,,
80,15,0,White,transformed,0,2.427309088,0.096380041,,
81,15,0,White,transformed,0,2.431801395,0.096857279,,
82,15,0,White,transformed,0,2.436422027,0.097351548,,
83,15,0,White,transformed,0,2.441199527,0.097856323,,
84,15,0,White,transformed,0,2.446162434,0.098365078,,
