NACCAGE,EDUC,SEX,mean.adj,sd.adj,Zscore
49,14,0,2.309000966,0.098882662,0
50,14,0,2.310499072,0.098886597,0
51,14,0,2.31215432,0.098890568,0
52,14,0,2.314118424,0.098894586,0
53,14,0,2.316543097,0.098898664,0
54,14,0,2.319580054,0.098902813,0
55,14,0,2.323381008,0.098907045,0
56,14,0,2.3280963,0.098911371,0
57,14,0,2.33375678,0.098915828,0
58,14,0,2.340182772,0.098920492,0
59,14,0,2.34717317,0.098925445,0
60,14,0,2.354526867,0.098930768,0
61,14,0,2.362042757,0.098936541,0
62,14,0,2.369519735,0.098942846,0
63,14,0,2.376756693,0.098949765,0
64,14,0,2.383555796,0.098957386,0
65,14,0,2.389827258,0.098966064,0
66,14,0,2.395611509,0.098976475,0
67,14,0,2.40095673,0.09898931,0
68,14,0,2.405911105,0.099005266,0
69,14,0,2.410522816,0.099025034,0
70,14,0,2.414840045,0.09904931,0
71,14,0,2.418910975,0.099078786,0
72,14,0,2.422783818,0.099114232,0
73,14,0,2.426507296,0.099157698,0
74,14,0,2.430130556,0.09921229,0
75,14,0,2.433702755,0.09928115,0
76,14,0,2.437273051,0.099367419,0
77,14,0,2.440890602,0.099474236,0
78,14,0,2.444604567,0.099604743,0
79,14,0,2.448464103,0.09976208,0
80,14,0,2.452514445,0.099948747,0
81,14,0,2.456762274,0.100160934,0
82,14,0,2.461192391,0.100391257,0
83,14,0,2.465789345,0.100632287,0
84,14,0,2.470537684,0.100876597,0
85,14,0,2.475421959,0.101116759,0
86,14,0,2.480426717,0.101345345,0
87,14,0,2.485536508,0.101554928,0
88,14,0,2.490764676,0.101739203,0
89,14,0,2.496302263,0.101898797,0
90,14,0,2.502408034,0.102036975,0
91,14,0,2.509340884,0.102157012,0
92,14,0,2.517359711,0.102262178,0
93,14,0,2.526723411,0.102355748,0
94,14,0,2.537690882,0.102440992,0
95,14,0,2.550521019,0.102521183,0
40,15,0,2.280049044,0.098847763,0
41,15,0,2.283117484,0.098851621,0
42,15,0,2.285949719,0.098855481,0
43,15,0,2.288555703,0.098859344,0
44,15,0,2.290945387,0.098863211,0
45,15,0,2.293128724,0.098867084,0
46,15,0,2.295115668,0.098870964,0
47,15,0,2.296916169,0.098874852,0
48,15,0,2.298540252,0.09887875,0
49,15,0,2.300032928,0.098882662,0
50,15,0,2.301531033,0.098886597,0
